案号,案由,命中罪名类别,命中关键词,犯罪人的年龄,受教育程度,案件地点,涉案金额_元,案件严重程度,审判时间,罚金金额_元
（2016）鄂2828民初937号,租赁合同纠纷,危害税收征管罪,税,,大专,住所地海口市,142600.0,,2017-01-10,
（2017）皖0825执206号之二,,妨害对公司企业的管理秩序罪,债券|股票,,,住所地安徽省,2000.0,,2017-01-17,
（2017）皖0825执88号之一,,妨害对公司企业的管理秩序罪,债券|股票,,,住所地安徽省,2686.0,,2017-01-10,
（2016）沪民终344号,,危害税收征管罪,税,,,住所地广东省,4154920.0,,2017-01-16,
（2016）沪民终345号,,危害税收征管罪,税,,,住所地广东省,5000000.0,,2017-01-16,
（2016）粤2071民初23114号,民间借贷纠纷,妨害对公司企业的管理秩序罪,股票,,,广东省,100000.0,严重,2017-01-26,
（2016）沪民终343号,,危害税收征管罪,税,,,住所地广东省,6250000.0,,2017-01-16,
（2017）冀06行终13号,,金融诈骗罪|危害税收征管罪,税|诈骗,,,住所地望都县,30550000.0,,2017-01-25,
（2016）苏0582民初12168号,承揽合同纠纷,危害税收征管罪,税,,,住所地江苏省,156366.0,,2017-01-06,
（2016）苏0583民初734号,买卖合同纠纷,危害税收征管罪,税,,,住所地江苏省,1240903.0,,2017-01-05,
(2016)兵0103民初1504号,机动车交通事故责任纠纷,危害税收征管罪,税,,,新疆生产建设兵团阿拉尔垦区,106128.0,,2017-01-24,
（2017）鲁09刑更18号,诈骗,金融诈骗罪,诈骗,,初中,山东省,200000.0,,2017-01-20,200000.0
（2015）深福法民四初字第1537号,合伙协议纠纷,妨害对公司企业的管理秩序罪,欺诈,,,住址江西省,180000.0,,2017-01-05,
（2016）沪行申547号,,妨害对公司企业的管理秩序罪|贪污贿赂罪,受贿|贪污,,,住所地上海市,,,2017-01-25,
（2016）沪行申541号,,妨害对公司企业的管理秩序罪|贪污贿赂罪,受贿|贪污,,,住所地上海市,,,2017-01-25,
（2016）沪执复19号,,破坏金融管理秩序罪|金融诈骗罪,诈骗|非法吸收公众存款,,,住所地上海市,188000000.0,严重,2017-01-05,300000.0
（2016）沪行申562号,,妨害对公司企业的管理秩序罪|贪污贿赂罪,受贿|贪污,,,住所地上海市,,,2017-01-25,
（2016）沪行申549号,,妨害对公司企业的管理秩序罪|贪污贿赂罪,受贿|贪污,,,住所地上海市,,,2017-01-25,
（2016）沪行申551号,,妨害对公司企业的管理秩序罪|扰乱市场秩序罪|贪污贿赂罪,受贿|贪污|非法经营,,,住所地上海市,10000.0,,2017-01-25,
（2016）冀0682民初3798号,机动车交通事故责任纠纷,危害税收征管罪,税,,,河北省定州市,72837.0,,2017-01-18,
（2016）沪民终117号之一,侵害实用新型专利权纠纷,侵犯知识产权罪,知识产权,,,住所地浙江省,9000.0,,2017-01-03,
（2016）沪民辖终288号,侵害发明专利权纠纷,侵犯知识产权罪,知识产权,,,住所地中华人民共和国广东省,,,2017-01-12,
（2016）沪0106民初13990号,企业承包经营合同纠纷,危害税收征管罪,税,,,住所地上海市,1280000.0,严重,2017-01-10,
（2017）川1703执1号,,危害税收征管罪,税,,,四川省,1440000.0,,2017-01-03,
（2016）沪民申2432号,买卖合同纠纷,妨害对公司企业的管理秩序罪,欺诈,,,住所地上海市,,轻微,2017-01-11,
（2017）冀0982执异2号,,危害税收征管罪,税,,,河北省,220000.0,,2017-01-19,
（2016）沪民申2281号,劳动合同纠纷,妨害对公司企业的管理秩序罪,欺诈,,,自由贸易试验区,,严重,2017-01-23,
（2016）沪民申2679号,侵害商业秘密纠纷,侵犯知识产权罪,商业秘密|知识产权,,,住所地上海市,,,2017-01-09,
（2016）沪民辖终289号,侵害发明专利权纠纷,侵犯知识产权罪,知识产权,,,住所地中华人民共和国广东省,,,2017-01-12,
（2016）沪民申2429号,买卖合同纠纷,妨害对公司企业的管理秩序罪,欺诈,,,住所地上海市,10000000.0,,2017-01-11,
（2016）粤刑终1537号,走私、贩卖、运输、制造毒品,走私罪|金融诈骗罪,诈骗|走私,,小学,户籍地广东省,31000.0,情节严重,2017-01-05,10000.0
（2016）鲁0181民初3845号,买卖合同纠纷,危害税收征管罪,税,,,住所地肥城市,200000.0,,2017-01-10,
（2017）鲁09刑更29号,抢劫,侵犯财产罪,敲诈勒索,,小学,山东省,5000.0,,2017-01-20,5000.0
（2017）皖0705执473号,,金融诈骗罪,诈骗,22.0,,安徽省,108238.0,,2017-01-01,
（2016）湘1102刑初334号,诈骗,金融诈骗罪|危害税收征管罪,税|虚开增值税|诈骗,,,湖南省,76500.0,特别严重,2017-01-16,20000.0
（2016）粤0106民初800号,机动车交通事故责任纠纷,危害税收征管罪,税,,,住所地广州市,200000.0,,2017-01-19,
（2016）鲁1522民初3025号,机动车交通事故责任纠纷,危害税收征管罪,税,,,山东省莘县,500000.0,严重,2017-01-22,
（2016）津0114刑初713号,敲诈勒索,侵犯财产罪,敲诈勒索,,小学,天津市,20000.0,特别严重,2017-01-04,8000.0
（2017）陕0624刑初11号,窝藏、包庇,贪污贿赂罪,贪污,,,陕西省,,,2017-01-19,
（2016）苏0581民初11478号,居间合同纠纷,危害税收征管罪,税,,,户籍地浙江省,13170000.0,,2017-01-09,
（2016）闽0781民初241号,法定继承纠纷,危害税收征管罪,税,17.0,,福建省邵武市,2207300.0,,2017-01-23,
（2016）琼0108民初4174号,名誉权纠纷,危害税收征管罪,税,,,住所地海口市,50.0,严重,2017-01-18,
（2016）粤1391民初2127号,房屋买卖合同纠纷,危害税收征管罪,税,,,惠州市大亚湾经济技术开发区,150000.0,,2017-01-16,
（2016）湘1103行初90号,,危害税收征管罪,税,,,住所地桂林市,100000.0,,2017-01-20,
（2016）赣0323民初851号,机动车交通事故责任纠纷,危害税收征管罪,税,,,江西省芦溪县,144775.0,,2017-01-23,
（2016）云0722民初36号,合同纠纷,金融诈骗罪,诈骗,,初中,云南省永胜县,102900.0,,2017-01-04,
（2016）沪0117民初19370号,加工合同纠纷,危害税收征管罪,税,,,住所地上海市,154859.0,,2017-01-16,
（2016）渝0117民初7837号,金融借款合同纠纷,危害税收征管罪,税,,,住所地重庆市,8000000.0,,2017-01-25,
（2016）黑0102民初8116号,买卖合同纠纷,妨害对公司企业的管理秩序罪,欺诈,,,住所地哈尔滨市,1017.0,,2017-01-04,
（2017）琼0107刑初32号,,走私罪,走私,,,海口市,3000.0,情节严重,2017-01-19,3000.0
（2016）苏0602民初5539号,离婚后财产纠纷,危害税收征管罪,税,,,南通市,1000000.0,,2017-01-24,
（2015）浙甬知初字第1126号,特许经营合同纠纷,危害税收征管罪|侵犯知识产权罪,商业秘密|知识产权|税,,,浙江省宁波市,300000.0,严重,2017-01-03,
（2016）苏0508民初6586号,居间合同纠纷,危害税收征管罪,税,,,住所地苏州市,2400000.0,,2017-01-12,
（2016）沪0110民初11410号,房屋租赁合同纠纷,危害税收征管罪,税,,,户籍地湖南省,52498.0,,2017-01-10,
（2016）苏0582民初9303号,买卖合同纠纷,危害税收征管罪,税,,,住所地张家港保税区,1020000.0,,2017-01-10,
（2016）赣0702刑初287号,,侵犯财产罪,敲诈勒索,,小学,江西省赣州市章贡区,26100.0,轻微,2017-01-24,16000.0
（2017）吉民终3号,侵害作品放映权纠纷,侵犯知识产权罪,著作权,,,吉林省,1397.0,,2017-01-25,
（2017）闽07刑终12号,走私、贩卖、运输、制造毒品,走私罪,走私,,中专,福建省,,,2017-01-18,1000.0
（2016）苏0585民初5681号,建设工程施工合同纠纷,金融诈骗罪,诈骗,,,住所地江苏省,200000000.0,,2017-01-26,
（2016）浙0824民初169号,林业承包合同纠纷,危害税收征管罪,税,,,浙江省开化县,750936.0,,2017-01-26,
（2017）苏1023刑初17号,信用卡诈骗,金融诈骗罪,诈骗,,,江苏省,500000.0,特别严重,2017-01-18,20000.0
（2017）豫01民终1304号,机动车交通事故责任纠纷,危害税收征管罪,税,,,河南省,300000.0,,2017-01-24,
（2016）甘0981刑初158号,,金融诈骗罪,诈骗,,初中,户籍地甘肃省,200000.0,数额较大,2017-01-06,3000.0
（2016）粤03民初1618号,侵害外观设计专利权纠纷,侵犯知识产权罪,知识产权,,,广东省深圳市,20000000.0,,2017-01-19,
（2016）沪0104民初28130号,侵害作品信息网络传播权纠纷,侵犯知识产权罪,知识产权|著作权,,,户籍地江西省,43500.0,情节严重,2017-01-10,
